2020-04-18T12:53:51+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\class-wp-image-editor-gd.php, na linha 191

2020-04-18T12:56:46+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\wp-db.php, na linha 2024

2020-04-18T17:52:40+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\Requests\Transport\cURL.php, na linha 441

2020-04-18T17:56:13+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\Requests\Transport\cURL.php, na linha 163

2020-04-18T17:56:13+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-content\themes\Fruitful-master\inc\func\comment-inline-error.php, na linha 10

2020-04-18T18:33:16+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\Requests\Transport\cURL.php, na linha 441

2020-04-18T21:09:38+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\Requests\Transport\cURL.php, na linha 441

2020-04-18T21:10:00+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\Requests\Transport\cURL.php, na linha 441

2020-04-18T21:10:00+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-content\themes\Fruitful-master\inc\func\comment-inline-error.php, na linha 10

2020-04-18T21:10:58+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\Requests\Transport\cURL.php, na linha 163

2020-04-18T21:10:58+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-content\themes\Fruitful-master\inc\func\comment-inline-error.php, na linha 10

2020-04-18T21:14:53+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\Requests\Transport\cURL.php, na linha 441

2020-04-18T21:16:48+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\Requests\Transport\cURL.php, na linha 441

2020-04-18T21:16:51+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\http.php, na linha 551

2020-04-18T21:17:01+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\Requests\Transport\cURL.php, na linha 441

2020-04-18T21:17:24+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\Requests\Transport\cURL.php, na linha 441

2020-04-18T21:20:39+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\Requests\Transport\cURL.php, na linha 441

2020-04-18T21:21:06+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\Requests\Transport\cURL.php, na linha 441

2020-04-18T21:25:22+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\Requests\Transport\cURL.php, na linha 441

2020-04-18T22:15:49+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\Requests\Transport\cURL.php, na linha 463

2020-04-18T22:19:08+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\xampp\htdocs\medicinadafloresta\wp-includes\Requests\Transport\cURL.php, na linha 441

